email,name,committee,event,Item Code,Description,Quantity
shahzeb2000786@gmail.com,Shahzeb Ahmed,tech,Parade,A12,Aluminum,6,
shahzeb2000786@gmail.com,Shahzeb Ahmed,OPP,Game,A15,cups,55,
shahzeb2000786@gmail.com,Shahzeb Ahmed,Tech,Parade,A88,Cups,5,
shahzeb2000786@gmail.com,Shahzeb Ahmed,OPP,homecoming,A12,Aluminum,3,
shahzeb2000786@gmail.com,Shahzeb Ahmed,OPP,OPP,A88,Tables,1298,
shahzeb2000786@gmail.com,Shahzeb Ahmed,Tech,Parade,A12,Aluminum,6,
shahzeb2000786@gmail.com,Shahzeb Ahmed,Tech,Parade,A12,Aluminum,99,
shahzeb2000786@gmail.com,Shahzeb Ahmed,Tech,coolio,A68,paper,4504,
shahzeb2000786@gmail.com,Shahzeb Ahmed,tech,homecoming,A88,A88:,undefined,320,
shahzeb2000786@gmail.com,Shahzeb Ahmed,Tech,Parade,A15,cups,undefined,12345,
shahzeb2000786@gmail.com,Shahzeb Ahmed,technology ,Homecoming,A,1,321123321,
shahzeb2000786@gmail.com,Shahzeb Ahmed,tech,Parade,A12,undefined,66,
shahzeb2000786@gmail.com,Shahzeb Ahmed,techno,Parade,A12,cups,5555,
shahzeb2000786@gmail.com,Shahzeb Ahmed,OPP,Football,A12,Aluminum,444,
